#Trabalho Fisica Aplicada a Computação - Mestre Nuno

#Gerador de Seno - 1º Ano - FAC 2018-19

#	 T	 	 Media	 MMM	 Tmin	 T0	 T1	 Tmax	 t
	 8.15	 48.16	 0.00	 -40	 10	 80	 120	 -23.17
	 8.25	 47.25	 0.00	 -40	 10	 80	 120	 -31.32
	 8.35	 46.27	 0.00	 -40	 10	 80	 120	 -31.74
	 8.46	 45.31	 0.00	 -40	 10	 80	 120	 -46.94
	 8.56	 44.18	 0.00	 -40	 10	 80	 120	 -40.93
	 8.66	 43.16	 0.00	 -40	 10	 80	 120	 -44.57
	 8.76	 42.11	 0.00	 -40	 10	 80	 120	 -27.99
	 8.86	 41.29	 0.00	 -40	 10	 80	 120	 -31.33
	 8.97	 40.44	 0.00	 -40	 10	 80	 120	 -20.12
	 9.07	 39.75	 0.00	 -40	 10	 80	 120	 6.26
	 9.17	 39.37	 0.00	 -40	 10	 80	 120	 21.39
	 9.27	 39.17	 0.00	 -40	 10	 80	 120	 31.37
	 9.38	 39.08	 0.00	 -40	 10	 80	 120	 51.82
	 9.48	 39.22	 0.00	 -40	 10	 80	 120	 63.59
	 9.58	 39.48	 0.00	 -40	 10	 80	 120	 84.50
	 9.68	 39.97	 0.00	 -40	 10	 80	 120	 90.90
	 9.79	 40.51	 0.00	 -40	 10	 80	 120	 98.96
	 9.89	 41.13	 0.00	 -40	 10	 80	 120	 109.44
	 9.99	 41.84	 0.00	 -40	 10	 80	 120	 108.81
	 10.09	 42.53	 0.00	 -40	 10	 80	 120	 125.96
	 10.19	 43.38	 0.00	 -40	 10	 80	 120	 124.77
	 10.30	 44.20	 0.00	 -40	 10	 80	 120	 106.30
	 10.40	 44.82	 0.00	 -40	 10	 80	 120	 102.67
	 10.50	 45.39	 0.00	 -40	 10	 80	 120	 105.33
	 10.60	 45.98	 0.00	 -40	 10	 80	 120	 78.65
	 10.71	 46.30	 0.00	 -40	 10	 80	 120	 73.01
	 10.81	 46.56	 0.00	 -40	 10	 80	 120	 53.31
	 10.91	 46.62	 0.00	 -40	 10	 80	 120	 34.89
	 11.02	 46.51	 0.00	 -40	 10	 80	 120	 25.76
	 11.12	 46.32	 0.00	 -40	 10	 80	 120	 -2.43
	 11.22	 45.86	 0.00	 -40	 10	 80	 120	 -10.47
	 11.32	 45.35	 0.00	 -40	 10	 80	 120	 -18.36
	 11.42	 44.77	 0.00	 -40	 10	 80	 120	 -27.82
	 11.53	 44.11	 0.00	 -40	 10	 80	 120	 -39.29
	 11.63	 43.37	 0.00	 -40	 10	 80	 120	 -47.58
	 11.73	 42.57	 0.00	 -40	 10	 80	 120	 -41.57
	 11.83	 41.83	 0.00	 -40	 10	 80	 120	 -43.23
	 11.94	 41.09	 0.00	 -40	 10	 80	 120	 -36.66
	 12.04	 40.42	 0.00	 -40	 10	 80	 120	 -29.25
	 12.14	 39.82	 0.00	 -40	 10	 80	 120	 -13.33
	 12.24	 39.37	 0.00	 -40	 10	 80	 120	 3.73
	 12.35	 39.07	 0.00	 -40	 10	 80	 120	 22.08
	 12.45	 38.93	 0.00	 -40	 10	 80	 120	 40.38
	 12.55	 38.94	 0.00	 -40	 10	 80	 120	 44.63
	 12.65	 38.99	 0.00	 -40	 10	 80	 120	 63.17
	 12.75	 39.19	 0.00	 -40	 10	 80	 120	 85.79
	 12.86	 39.56	 0.00	 -40	 10	 80	 120	 92.45
	 12.96	 39.98	 0.00	 -40	 10	 80	 120	 99.85
