#Trabalho Fisica Aplicada a Computação - Mestre Nuno

#Gerador de Seno - 1º Ano - FAC 2018-19

#	t	Tmin	T0	T1	Tmax	T	Media	MMM	MMS
	 -40	 10	 80	 120	 76.43
	 7.15	 0.00	 117.47	 0.00	 -40	 10	 80	 120	 123.56
	 7.25	 0.00	 117.47	 0.00	 -40	 10	 80	 120	 97.06
	 7.36	 0.00	 117.47	 0.00	 -40	 10	 80	 120	 104.83
	 7.46	 0.00	 108.48	 0.00	 -40	 10	 80	 120	 83.11
	 7.56	 0.00	 108.48	 0.00	 -40	 10	 80	 120	 78.67
	 7.66	 0.00	 108.48	 0.00	 -40	 10	 80	 120	 45.85
	 7.77	 0.00	 69.21	 0.00	 -40	 10	 80	 120	 30.44
	 7.87	 0.00	 69.21	 0.00	 -40	 10	 80	 120	 17.29
	 7.97	 0.00	 69.21	 0.00	 -40	 10	 80	 120	 8.78
	 8.07	 0.00	 18.84	 0.00	 -40	 10	 80	 120	 -10.16
	 8.18	 0.00	 18.84	 0.00	 -40	 10	 80	 120	 -15.21
	 8.28	 0.00	 18.84	 0.00	 -40	 10	 80	 120	 -29.71
	 8.38	 0.00	 -18.36	 0.00	 -40	 10	 80	 120	 -36.22
	 8.48	 0.00	 -18.36	 0.00	 -40	 10	 80	 120	 -31.58
	 8.59	 0.00	 -18.36	 0.00	 -40	 10	 80	 120	 -47.59
	 8.69	 0.00	 -38.46	 0.00	 -40	 10	 80	 120	 -40.25
	 8.79	 0.00	 -38.46	 0.00	 -40	 10	 80	 120	 -32.69
	 8.90	 0.00	 -38.46	 0.00	 -40	 10	 80	 120	 -19.29
	 9.00	 0.00	 -30.75	 0.00	 -40	 10	 80	 120	 -16.26
	 9.10	 0.00	 -30.75	 0.00	 -40	 10	 80	 120	 10.67
	 9.20	 0.00	 -30.75	 0.00	 -40	 10	 80	 120	 18.17
	 9.31	 0.00	 4.19	 0.00	 -40	 10	 80	 120	 42.48
	 9.41	 0.00	 4.19	 0.00	 -40	 10	 80	 120	 51.73
	 9.51	 0.00	 4.19	 0.00	 -40	 10	 80	 120	 69.56
	 9.61	 0.00	 54.59	 0.00	 -40	 10	 80	 120	 87.01
	 9.72	 0.00	 54.59	 0.00	 -40	 10	 80	 120	 93.74
	 9.82	 0.00	 54.59	 0.00	 -40	 10	 80	 120	 104.99
	 9.92	 0.00	 95.24	 0.00	 -40	 10	 80	 120	 107.52
	 10.02	 0.00	 95.24	 0.00	 -40	 10	 80	 120	 117.90
	 10.13	 0.00	 95.24	 0.00	 -40	 10	 80	 120	 123.94
	 10.23	 0.00	 116.45	 0.00	 -40	 10	 80	 120	 119.64
	 10.33	 0.00	 116.45	 0.00	 -40	 10	 80	 120	 102.05
	 10.44	 0.00	 116.45	 0.00	 -40	 10	 80	 120	 93.51
	 10.54	 0.00	 105.06	 0.00	 -40	 10	 80	 120	 95.22
	 10.64	 0.00	 105.06	 0.00	 -40	 10	 80	 120	 83.71
	 10.74	 0.00	 105.06	 0.00	 -40	 10	 80	 120	 64.58
	 10.85	 0.00	 81.17	 0.00	 -40	 10	 80	 120	 55.60
	 10.95	 0.00	 81.17	 0.00	 -40	 10	 80	 120	 28.15
	 11.05	 0.00	 81.17	 0.00	 -40	 10	 80	 120	 17.07
	 11.15	 0.00	 33.61	 0.00	 -40	 10	 80	 120	 -1.81
	 11.26	 0.00	 33.61	 0.00	 -40	 10	 80	 120	 -14.16
	 11.36	 0.00	 33.61	 0.00	 -40	 10	 80	 120	 -28.17
	 11.46	 0.00	 -14.71	 0.00	 -40	 10	 80	 120	 -24.65
	 11.56	 0.00	 -14.71	 0.00	 -40	 10	 80	 120	 -41.93
