#Trabalho Fisica Aplicada a Computação - Mestre Nuno#Sensores BMP280 - 1º Ano - FAC 2018-19
#Suavização T(ºC)   Suavização P(Pa)    T(ºC)    P(Pa)    Media T(ºC)    Media P(Pa)

27.76		 99387.39		 27.76		 99386.00		 27.77		 99390.34
27.76		 99386.42		 27.76		 99386.00		 27.77		 99390.34
27.76		 99385.42		 27.76		 99385.00		 27.76		 99385.67
27.76		 99385.83		 27.76		 99386.00		 27.76		 99385.67
27.76		 99385.95		 27.76		 99386.00		 27.76		 99385.67
27.77		 99387.39		 27.77		 99388.00		 27.76		 99386.67
27.77		 99387.82		 27.77		 99388.00		 27.76		 99386.67
27.77		 99387.25		 27.76		 99387.00		 27.76		 99386.67
27.76		 99386.38		 27.76		 99386.00		 27.76		 99387.00
27.76		 99386.11		 27.76		 99386.00		 27.76		 99387.00
27.77		 99387.43		 27.77		 99388.00		 27.76		 99387.00
27.77		 99389.23		 27.77		 99390.00		 27.77		 99388.00
27.77		 99389.77		 27.77		 99390.00		 27.77		 99388.00
27.76		 99388.53		 27.75		 99388.00		 27.77		 99388.00
27.76		 99387.46		 27.76		 99387.00		 27.76		 99388.34
27.76		 99387.14		 27.76		 99387.00		 27.76		 99388.34
27.76		 99387.04		 27.76		 99387.00		 27.76		 99388.34
27.76		 99387.02		 27.76		 99387.00		 27.76		 99387.00
27.76		 99386.31		 27.76		 99386.00		 27.76		 99387.00
27.76		 99388.19		 27.76		 99389.00		 27.76		 99387.00
27.76		 99388.76		 27.76		 99389.00		 27.76		 99388.00
27.76		 99389.63		 27.76		 99390.00		 27.76		 99388.00
27.75		 99389.89		 27.75		 99390.00		 27.76		 99388.00
27.75		 99389.97		 27.75		 99390.00		 27.75		 99390.00
27.75		 99388.60		 27.75		 99388.00		 27.75		 99390.00
27.75		 99388.18		 27.75		 99388.00		 27.75		 99390.00
27.75		 99388.06		 27.75		 99388.00		 27.75		 99388.00
27.76		 99388.72		 27.76		 99389.00		 27.75		 99388.00
27.76		 99388.92		 27.76		 99389.00		 27.75		 99388.00
27.76		 99387.58		 27.75		 99387.00		 27.76		 99388.34
27.75		 99388.57		 27.75		 99389.00		 27.76		 99388.34
27.75		 99388.88		 27.75		 99389.00		 27.76		 99388.34
27.75		 99390.36		 27.75		 99391.00		 27.75		 99389.67
